Funder,Funder Link,2018,2019,2020,OverallAvailable
National Natural Science Foundation of China - cached,http://ir.nsfc.gov.cn/statement,49%,48%,48%,50%
US National Institutes of Health - cached,https://publicaccess.nih.gov/policy.htm,87%,87%,85%,88%
German Research Foundation - cached,https://www.dfg.de/formulare/2_012e/2_012e.pdf,73%,75%,81%,73%
US National Science Foundation - cached,https://www.nsf.gov/pubs/2015/nsf15052/nsf15052.pdf,85%,86%,86%,84%
European Commission - cached,https://erc.europa.eu/sites/default/files/document/file/ERC%20Open%20Access%20guidelines-Version%201.1._10.04.2017.pdf,85%,85%,86%,84%
Government of Spain - cached,https://www.boe.es/boe/dias/2011/06/02/pdfs/BOE-A-2011-9617.pdf,75%,76%,75%,75%
US Department of Energy - cached,https://www.osti.gov/pages/faqs#what-is-doe-public-access,88%,89%,88%,87%
Natural Sciences and Engineering Research Council of Canada - cached,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,69%,68%,67%,69%
US Department of Defense - cached,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/320012p.pdf?ver=2018-12-17-130508-423,79%,79%,80%,78%
"Department of Science & Technology, India - cached",http://www.dst.gov.in/sites/default/files/APPROVED%20OPEN%20ACCESS%20POLICY-DBT%26DST%2812.12.2014%29_1.pdf,52%,49%,48%,53%
Swiss National Science Foundation - cached,http://www.snf.ch/SiteCollectionDocuments/snsf-general-implementation-regulations-for-the-funding-regulations-e.pdf,87%,86%,88%,85%
Chinese Academy of Sciences - cached,http://english.cas.cn/resources/archive/news_archive/nu2014/201502/t20150217_140703.shtml,58%,57%,57%,59%
Canadian Institutes of Health Research - cached,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,75%,74%,77%,76%
UK Engineering and Physical Sciences Research Council - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,92%,91%,90%,88%
Australian Research Council - cached,https://www.arc.gov.au/policies-strategies/policy/arc-open-access-policy-version-20171,76%,74%,70%,74%
Government of Italy - cached,https://www.gazzettaufficiale.it/atto/serie_generale/caricaArticolo?art.progressivo=0&art.idArticolo=4&art.versione=1&art.codiceRedazionale=13G00135&art.dataPubblicazioneGazzetta=2013-08-09&art.idGruppo=1&art.idSottoArticolo1=10&art.idSottoArticolo=1&art.flagTipoArticolo=0,75%,75%,76%,76%
"Fundação para a Ciência e a Tecnologia, Portugal - cached",https://www.fct.pt/documentos/PoliticaAcessoAberto_Publicacoes.pdf,73%,72%,72%,73%
US National Aeronautics and Space Administration - cached,https://www.nasa.gov/sites/default/files/atoms/files/206985_2015_nasa_plan-for-web.pdf,84%,84%,82%,83%
Swedish Research Council - cached,https://www.vr.se/english/applying-for-funding/requirements-terms-and-conditions/publishing-open-access.html,84%,84%,89%,83%
Wellcome Trust - cached,http://www.wellcome.ac.uk/About-us/Policy/Policy-and-position-statements/WTD002766.htm,94%,94%,93%,92%
"National Institute for Health Research, UK - cached",https://www.nihr.ac.uk/documents/nihr-open-access-policy/12251,93%,90%,90%,89%
UK Medical Research Council - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,92%,91%,91%,90%
Research Foundation (Flanders) - cached,https://www.fwo.be/en/general-regulations/,85%,84%,83%,79%
"Federal Ministry of Education and Research, Germany - cached",https://www.bmbf.de/upload_filestore/pub/Open_Access_in_Deutschland.pdf,73%,74%,79%,76%
Austrian Science Fund - cached,https://www.fwf.ac.at/en/research-funding/open-access-policy/,90%,90%,90%,87%
"National Health and Medical Research Council, Australia - cached",https://www.nhmrc.gov.au/file/15242/download?token=rgNjnh0B,78%,76%,74%,77%
US Department of Agriculture - cached,https://www.usda.gov/sites/default/files/documents/USDA-Public-Access-Implementation-Plan.pdf,82%,84%,83%,82%
Agence Nationale de la Recherche - cached,https://anr.fr/fileadmin/documents/2019/anr_depliant_science_ouverte_GB_100x210_final.pdf,-,87%,89%,85%
Government of Argentina - cached,https://www.argentina.gob.ar/normativa/nacional/ley-26899-223459/texto,76%,72%,70%,74%
Netherlands Organisation for Scientific Research - cached,/mandates/nwo_nl-2018-01-28-en.pdf,89%,89%,91%,89%
US Centers for Disease Control and Prevention - cached,https://stacks.cdc.gov/view/cdc/28657/cdc_28657_DS1.pdf,79%,79%,79%,80%
"Research Grants Council, Hong Kong - cached",https://www.ugc.edu.hk/doc/eng/rgc/form/DAMA202006.pdf,61%,59%,57%,61%
Research Council of Norway - cached,/mandates/rcn_no-2018-09-05-en.pdf,84%,86%,87%,83%
Academy of Finland - cached,https://www.aka.fi/en/research-funding/apply-for-funding/how-to-apply-for-funding/az-index-of-application-guidelines2/open-science/,86%,89%,88%,84%
"Department of Biotechnology, India - cached",http://www.dst.gov.in/sites/default/files/APPROVED%20OPEN%20ACCESS%20POLICY-DBT%26DST%2812.12.2014%29_1.pdf,64%,61%,61%,66%
"National Institute of Health and Medical Research, France - cached",https://www.hal.inserm.fr/public/OAcontratsEU2016_actualisation_janvier_2018.pdf,79%,86%,87%,81%
Science Foundation Ireland - cached,https://www.sfi.ie/resources/open-access-dec-10.pdf,83%,83%,83%,83%
UK Biotechnology and Biological Sciences Research Council - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,94%,94%,94%,92%
US Department of Veterans Affairs - cached,https://www.research.va.gov/resources/policies/public_access.cfm,79%,78%,76%,78%
Howard Hughes Medical Institute - cached,https://hhmicdn.blob.core.windows.net/policies/Public-Access-to-Publications,91%,93%,91%,90%
UK Science and Technology Facilities Council - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,96%,96%,95%,95%
UK Economic and Social Research Council - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,89%,88%,88%,86%
UK Natural Environment Research Council - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,95%,93%,91%,92%
Bill & Melinda Gates Foundation - cached,https://www.gatesfoundation.org/How-We-Work/General-Information/Open-Access-Policy,92%,92%,92%,91%
Hungarian Scientific Research Fund - cached,/mandates/otka_hu-2018-01-28-hu.pdf,82%,81%,89%,80%
Cancer Research UK - cached,https://www.cancerresearchuk.org/sites/default/files/policy_on_open_access.pdf,93%,92%,93%,87%
"Social Sciences and Humanities Research Council, Canada - cached",http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,69%,69%,65%,68%
Helmholtz Association - cached,https://os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/open-access-richtlinien/open-access-richtlinie-der-helmholtz-gemeinschaft-2016/open-access-policy-of-the-helmholtz-association-2016/,79%,81%,82%,80%
"National Research Foundation, South Africa - cached",https://www.nrf.ac.za/sites/default/files/documents/oastatement_2015.pdf,74%,73%,71%,74%
Danish Council for Independent Research - cached,https://dff.dk/en/about-us/goals-and-policies/open-access-policy,84%,82%,81%,80%
UK Research & Innovation - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,85%,85%,87%,85%
Fonds de recherche du Québec - Santé - cached,http://www.frqs.gouv.qc.ca/documents/11314/530072/Policy+regarding+open+access+to+published+research+outputs.pdf,75%,74%,76%,76%
British Heart Foundation - cached,https://www.bhf.org.uk/research/research-grants/managing-your-grant/open-access-policy.aspx,94%,91%,92%,87%
US Department of Education - cached,https://ies.ed.gov/funding/pdf/EDPlanPolicyDevelopmentGuidanceforPublicAccess.pdf,66%,66%,63%,65%
US National Oceanic and Atmospheric Administration - cached,https://www.glerl.noaa.gov/review2016/reviewer_docs/NOAA_PARR_Plan_v5.04.pdf,87%,87%,84%,86%
"National Fund for Scientific Research, Belgium - cached",https://www.frs-fnrs.be/docs/Reglement_OPEN_ACCESS_EN.pdf,87%,90%,89%,86%
American Heart Association - cached,https://professional.heart.org/en/research-programs/aha-research-policies-and-awardee-hub/open-science-policy-statements-for-aha-funded-research,87%,86%,85%,86%
Royal Society UK - cached,https://royalsociety.org/grants-schemes-awards/grants/about-grants/,87%,86%,85%,86%
US Food and Drug Administration - cached,https://www.fda.gov/media/90883/download,72%,72%,72%,71%
"Department of International Development, UK - cached",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/181176/DFIDResearch-Open-and-Enhanced-Access-Policy.pdf,91%,92%,90%,90%
Indian Council of Agricultural Research - cached,http://eprints.cmfri.org.in/9665/1/Open_Access_Policy_of_ICAR.pdf,75%,72%,70%,75%
Slovenian Research Agency - cached,https://www.gov.si/assets/ministrstva/MIZS/Dokumenti/ZNANOST/Strategije/National-strategy-of-open-access-to-scientific-publications-and-research-data-in-Slovenia-2015-2020.pdf,73%,75%,77%,75%
Netherlands Organisation for Health Research and Development - cached,https://www.zonmw.nl/fileadmin/zonmw/documenten/Gezondheidsbescherming/Open_Access/Open_Access_Policy_ZonMw_2021..pdf,88%,87%,91%,87%
"Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning - cached",/mandates/formas_se-2018-01-28-en.pdf,83%,84%,88%,83%
Hungarian Academy of Sciences - cached,http://real.mtak.hu/eprints/mandate.html,82%,87%,89%,85%
Knut and Alice Wallenberg Foundation - cached,https://kaw.wallenberg.org/en/funding-guide/grant-policy,88%,89%,92%,89%
