Publication,h5-index,h5-index link,h5-median
Nature,414,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=H--JoiVp8x8J.2021,607
The New England Journal of Medicine,410,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=IKEvlTw-e8IJ.2021,704
Science,391,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=oY2eER5-jTUJ.2021,564
IEEE/CVF Conference on Computer Vision and Pattern Recognition,356,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=FXe-a9w0eycJ.2021,583
The Lancet,345,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=dj7TIF9zE7gJ.2021,600
Advanced Materials,294,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=iGi98NXoUDsJ.2021,406
Cell,288,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=VlyKmNJzCgkJ.2021,459
Nature Communications,287,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=YEzjG67_QZIJ.2021,389
Chemical Reviews,270,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=uv6tiIhlWM8J.2021,434
International Conference on Learning Representations,253,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=0032SoU2xY4J.2021,470
JAMA,253,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=OmPdUD0HxiAJ.2021,446
Neural Information Processing Systems,245,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=eqYFflc_uhEJ.2021,422
Proceedings of the National Academy of Sciences,245,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=5RY_PS94Oc4J.2021,337
Journal of the American Chemical Society,245,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=SwzN8j-L5pcJ.2021,330
Angewandte Chemie,235,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=kGPhuITsJjEJ.2021,314
Chemical Society Reviews,234,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=UJChSoIuvTUJ.2021,339
Nucleic Acids Research,233,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=R9lVUK9iDeEJ.2021,512
Renewable and Sustainable Energy Reviews,225,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ZSbkjLcARiEJ.2021,294
Journal of Clinical Oncology,213,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ecHF5oQilegJ.2021,297
Physical Review Letters,209,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=k6hd2dUel5kJ.2021,297
Advanced Energy Materials,206,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=w0MXM7xwO6EJ.2021,267
Nature Medicine,205,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=WMiBWggej_gJ.2021,356
International Conference on Machine Learning,204,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=wL2oxc9mT4YJ.2021,370
Energy & Environmental Science,202,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=SBb1EorUeGIJ.2021,306
ACS Nano,202,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=LlbEG8dwKzQJ.2021,265
Scientific Reports,200,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=4iSd_wSzmosJ.2021,262
European Conference on Computer Vision,197,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=cwIh2C-xo8kJ.2021,342
The Lancet Oncology,196,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=xO04yUCWFMsJ.2021,318
Advanced Functional Materials,189,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=49-WwfyYHmkJ.2021,250
PLoS ONE,185,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ikn7EegrlaAJ.2021,246
IEEE/CVF International Conference on Computer Vision,184,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=Umlb1kMURG4J.2021,311
Nature Genetics,184,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=jTa5bn_Vy5gJ.2021,273
Journal of Cleaner Production,182,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=tYeMgWz27P4J.2021,245
Nature Materials,181,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=qDk_w5lWaUIJ.2021,313
Science of The Total Environment,180,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=zHYLxfa9svsJ.2021,244
